Technologies;F;f_min;f_max;F_year
NUCLEAR;0.0;0.0;0.0;0.0
NUCLEAR_SMR;0.0;0.0;0.0;0.0
CCGT_AMMONIA;0.0;0.0;0.0;0.0
COAL_US;0.0;0.0;0.0;0.0
COAL_IGCC;0.0;0.0;0.0;0.0
BIOMASS_TO_POWER;0.0;0.0;0.0;0.0
PV_ROOFTOP;0.0;0.0;0.0;0.0
PV_UTILITY;0.17030979115505096;0.17029797000000002;0.17030007000000003;350.5728009511609
PV_HS;0.0;0.0;5000000000000000.0;0.0
PT_COLLECTOR;0.0;0.0;0.0;0.0
ST_COLLECTOR;0.0;0.0;0.0;0.0
PT_POWER_BLOCK;0.0;0.0;0.0;0.0
ST_POWER_BLOCK;0.0;0.0;0.0;0.0
WIND_ONSHORE;0.1278;0.1278;0.1278;119.60197498530158
WIND_OFFSHORE;0.0;0.0;0.0;0.0
HYDRO_DAM;0.3719223625213036;0.37192;0.371921;1353.964813700971
HYDRO_RIVER;0.36372;0.36372;0.36372;1882.7933758211982
TIDAL_STREAM;0.0;0.0;0.0;0.0
TIDAL_RANGE;0.0;0.0;0.0;0.0
WAVE;0.0;0.0;0.0;0.0
GEOTHERMAL;0.0;0.0;0.0;0.0
GENSET_DIESEL;0.11409763087483622;0.11386;4000000000000000.0;250.28897740596554
HS_DIESEL;0.0;0.0;0.0;0.0
OCGT;1.0513556275079656;1.05133;1000000000000001.1;1134.2961791211756
CCGT;1.49249;1.49249;1.49249;5335.337503080856
ST_BIOMASS;0.12663;0.12663;0.12663;454.79972661085304
ST_SNG;0.001;0.001;0.001;0.0
CCGT_SUR;0.0;0.0;0.0;0.0
IND_COGEN_GAS;0.0;0.0;0.0;0.0
IND_COGEN_WOOD;0.0;0.0;0.0;0.0
IND_COGEN_WASTE;0.0;0.0;0.0;0.0
IND_BOILER_GAS;0.9681434766041968;0.0;1000000000000000.0;8007.518316037835
IND_BOILER_WOOD;0.6256007277847339;0.0;5000000000000000.0;4901.248490524079
IND_BOILER_BIOWASTE;0.0;0.0;0.0;0.0
IND_BOILER_OIL;0.00340435220136195;0.0;2000000000000000.0;12.939708058735823
IND_BOILER_COAL;0.0;0.0;0.0;0.0
IND_BOILER_WASTE;0.0;0.0;0.0;0.0
IND_DIRECT_ELEC;0.0;0.0;0.0;0.0
DHN_HP_ELEC;0.0;0.0;0.0;0.0
DHN_COGEN_GAS;0.0;0.0;0.0;0.0
DHN_COGEN_WOOD;0.0;0.0;0.0;0.0
DHN_COGEN_WASTE;0.0;0.0;0.0;0.0
DHN_BOILER_GAS;0.0;0.0;2000000000000000.0;0.0
DHN_BOILER_WOOD;0.0;0.0;0.0;0.0
DHN_BOILER_OIL;0.0;0.0;2000000000000000.0;0.0
DHN_DEEP_GEO;0.0;0.0;0.0;0.0
DHN_SOLAR;0.0;0.0;0.0;0.0
DEC_HP_ELEC;0.0;0.0;0.0;0.0
DEC_THHP_GAS;0.0;0.0;0.0;0.0
DEC_COGEN_GAS;0.0;0.0;0.0;0.0
DEC_COGEN_OIL;0.0;0.0;0.0;0.0
DEC_ADVCOGEN_GAS;0.0;0.0;0.0;0.0
DEC_ADVCOGEN_H2;0.0;0.0;0.0;0.0
DEC_BOILER_GAS;0.02995940492970796;0.0;5000000000000000.0;135.75207566156408
DEC_BOILER_WOOD;0.0;0.0;0.0;0.0
DEC_BOILER_OIL;0.0;0.0;0.0;0.0
DEC_SOLAR;0.007553596729035637;0.0;1000000000000000.0;11.760352712686377
DEC_DIRECT_ELEC;0.2609003088231002;0.0;2000000000000000.0;1177.7860677255985
DEC_ELEC_COLD;0.2927679812977141;0.0;2000000000000000.0;991.3958598832481
DEC_ELEC_COLD_FAN;0.0;0.0;0.0;0.0
DEC_THHP_GAS_COLD;0.0;0.0;0.0;0.0
IND_ELEC_COLD;0.0;0.0;2000000000000000.0;0.0
TRAMWAY_TROLLEY;0.1176003230753436;0.0;1000000000000000.0;352.7542605018718
BUS_COACH_DIESEL;0.0;0.0;0.0;0.0
BUS_COACH_HYDIESEL;0.0;0.0;0.0;0.0
BUS_COACH_CNG_STOICH;0.0;0.0;0.0;0.0
BUS_COACH_FC_HYBRIDH2;0.0;0.0;0.0;0.0
TRAIN_PUB;0.0;0.0;0.0;0.0
PLANE_SHORT_HAUL;0.0;0.0;0.0;0.0
PLANE_H2_SHORT_HAUL;0.0;0.0;0.0;0.0
PLANE_LONG_HAUL;0.0;0.0;0.0;0.0
CAR_GASOLINE;0.0;0.0;0.0;0.0
CAR_DIESEL;0.0;0.0;0.0;0.0
CAR_NG;0.0;0.0;0.0;0.0
CAR_METHANOL;0.0;0.0;0.0;0.0
CAR_HEV;0.0;0.0;0.0;0.0
CAR_PHEV;0.0;0.0;0.0;0.0
CAR_BEV;0.3611136605076537;0.0;1000000000000000.0;136.43945822210978
CAR_FUEL_CELL;0.0;0.0;0.0;0.0
TRAIN_FREIGHT;0.2654946171759379;0.0;1000000000000000.0;796.0503613154776
BOAT_FREIGHT_DIESEL;0.05302789256135993;0.0;5000000000000000.0;52.4711169264767
BOAT_FREIGHT_NG;0.0;0.0;0.0;0.0
